DATE,VALUES,RETURNS
20190701,1.010904337,0.010904337
20190702,1.025441225,0.014380083
20190703,1.021467055,-0.003875571
20190704,1.019251695,-0.002168802
20190705,1.023964075,0.004623373
20190708,1.015363105,-0.00839968
20190709,1.006359562,-0.008867314
20190710,1.019916699,0.013471465
20190711,1.017571821,-0.002299087
20190712,1.021428398,0.003789979
20190715,1.006157759,-0.014950278
20190716,0.979536669,-0.026458167
20190717,0.959246056,-0.020714501
20190718,0.942793806,-0.01715123
20190719,0.936994071,-0.006151647
20190722,0.933819079,-0.003388487
20190723,0.933672636,-0.000156822
20190724,0.925214633,-0.009058853
20190725,0.91356511,-0.012591157
20190726,0.921647211,0.008846771
20190729,0.930724826,0.009849337
20190730,0.952434077,0.023325102
20190731,0.973564871,0.022186096
20190801,1.026482581,0.054354581
20190802,1.061565374,0.034177679
20190805,1.04770909,-0.01305269
20190806,1.043304448,-0.00420407
20190807,1.04687391,0.003421305
20190808,1.026768891,-0.019204814
20190809,1.016130927,-0.010360622
20190812,0.999392157,-0.016473045
20190813,0.989316902,-0.010081383
20190814,0.967122992,-0.02243357
20190815,0.967239274,0.000120235
20190816,0.973965048,0.006953578
20190819,0.972327781,-0.001681033
20190820,0.968365981,-0.004074552
20190821,0.970688207,0.002398087
20190822,0.974519035,0.003946507
20190823,0.983290451,0.009000765
20190826,1.027472213,0.044932565
20190827,1.101820951,0.072360826
20190828,1.165896586,0.058154308
20190829,1.18261294,0.014337768
20190830,1.176875305,-0.004851659
20190902,1.008433684,0.008433684
20190903,1.008164691,-0.000266744
20190904,1.033128456,0.024761594
20190905,1.059021148,0.025062413
20190906,1.07620276,0.01622405
20190909,1.078707711,0.002327583
20190910,1.113381262,0.032143602
20190911,1.151758863,0.034469415
20190912,1.184968103,0.028833501
20190916,1.243280026,0.049209698
20190917,1.263373692,0.016161818
20190918,1.282802149,0.015378235
20190919,1.282321503,-0.000374685
20190920,1.282788825,0.000364434
20190923,1.283131005,0.000266747
20190924,1.284433312,0.001014944
20190925,1.291024553,0.005131633
20190926,1.295199452,0.003233787
20190927,1.293996642,-0.000928667
20190930,1.30774355,0.010623604
20191008,1.321252228,0.010329761
20191009,1.327715192,0.004891545
20191010,1.324664766,-0.002297501
20191011,1.312980688,-0.008820404
20191014,1.301030315,-0.009101712
20191015,1.295667645,-0.004121864
20191016,1.294668684,-0.000771001
20191017,1.279429951,-0.011770373
20191018,1.27213935,-0.00569832
20191021,1.273873299,0.001363018
20191022,1.276203923,0.001829557
20191023,1.27531319,-0.000697956
20191024,1.27382981,-0.00116315
20191025,1.276595518,0.002171176
20191028,1.287218947,0.008321687
20191029,1.287190738,-2.19E-05
20191030,1.279545478,-0.005939493
20191031,1.284251297,0.003677727
20191101,0.996970684,-0.003029316
20191104,0.987601993,-0.009397157
20191105,0.978288816,-0.009430092
20191106,0.968485132,-0.010021257
20191107,0.977357932,0.009161525
20191108,0.986544255,0.009399139
20191111,0.991854243,0.005382412
20191112,0.995035649,0.003207533
20191113,0.988582774,-0.006485069
20191114,0.983572405,-0.005068234
20191115,0.983800995,0.000232408
20191118,0.999656331,0.016116406
20191119,1.012786496,0.01313468
20191120,1.034480038,0.021419659
20191121,1.049641273,0.014655899
20191122,1.070142822,0.019531958
20191125,1.085684881,0.014523349
20191126,1.111292142,0.023586274
20191127,1.145397126,0.030689485
20191128,1.164766228,0.016910381
20191129,1.162464967,-0.001975728
20191202,1.166087327,0.003116102
20191203,1.159968628,-0.005247204
20191204,1.148442212,-0.009936835
20191205,1.163853434,0.01341924
20191206,1.170428761,0.005649618
20191209,1.203285001,0.028071969
20191210,1.232226958,0.024052454
20191211,1.237109304,0.003962213
20191212,1.24213245,0.004060389
20191213,1.256173192,0.01130374
20191216,1.262117332,0.004731943
20191217,1.262194091,6.08E-05
20191218,1.27150962,0.007380426
20191219,1.273785464,0.001789875
20191220,1.28315946,0.007359164
20191223,1.291646766,0.006614381
20191224,1.299119164,0.005785171
20191225,1.303018785,0.003001742
20191226,1.320341237,0.013294093
20191227,1.316666741,-0.00278299
20191230,1.318159613,0.001133827
20191231,1.306740821,-0.008662678
20200102,1.001570563,0.001570563
20200103,1.002913784,0.001341115
20200106,1.009861495,0.006927525
20200107,0.98998673,-0.019680684
20200108,0.982605536,-0.007455851
20200109,0.976002644,-0.006719779
20200110,0.96270018,-0.013629536
20200113,0.942619227,-0.02085899
20200114,0.930389052,-0.012974672
20200115,0.915240574,-0.016281875
20200116,0.927951004,0.01388753
20200117,0.93319695,0.005653257
20200120,0.938076346,0.005228688
20200121,0.934908102,-0.003377384
20200122,0.932903636,-0.002144025
20200123,0.92871519,-0.004489687
20200203,0.918207163,-0.011314585
20200204,0.915619472,-0.002818199
20200205,0.908129989,-0.00817969
20200206,0.90512225,-0.003312013
20200207,0.903372764,-0.001932873
20200210,0.893877711,-0.01051067
20200211,0.885507035,-0.009364453
20200212,0.877177591,-0.009406412
20200213,0.868204189,-0.010229858
20200214,0.858436305,-0.011250676
20200217,0.858505182,8.02E-05
20200218,0.855150109,-0.003908041
20200219,0.859731135,0.005356985
20200220,0.866879714,0.008314901
20200221,0.86673721,-0.000164387
20200224,0.856234492,-0.012117535
20200225,0.85781733,0.001848603
20200226,0.854933813,-0.003361458
20200227,0.853712073,-0.001429046
20200228,0.85747878,0.004412151
20200302,0.998739311,-0.001260689
20200303,1.014708364,0.01598921
20200304,1.03232767,0.017363912
20200305,1.063947455,0.030629601
20200306,1.104266156,0.037895388
20200309,1.077236156,-0.024477794
20200310,1.050562236,-0.024761442
20200311,1.11958621,0.065701938
20200312,1.132523456,0.011555381
20200313,1.153878731,0.018856365
20200316,1.194428346,0.035142007
20200317,1.230879882,0.030517977
20200318,1.220504894,-0.00842892
20200319,1.195583527,-0.0204189
20200320,1.217419136,0.018263558
20200323,1.234260787,0.013833897
20200324,1.231096339,-0.002563841
20200325,1.219883377,-0.009108111
20200326,1.231583798,0.009591426
20200327,1.246879495,0.012419534
20200330,1.33864284,0.073594398
20200331,1.359358652,0.015475234
20200401,1.413695019,0.039972061
20200402,1.408533551,-0.003651048
20200403,1.407229467,-0.000925845
20200407,1.407066713,-0.000115655
20200408,1.425141202,0.012845509
20200409,1.4078602,-0.012125817
20200410,1.401008287,-0.004866899
20200413,1.431588896,0.021827572
20200414,1.484909395,0.037245678
20200415,1.561893491,0.051844306
20200416,1.589692392,0.017798205
20200417,1.626219254,0.022977314
20200420,1.642155341,0.009799471
20200421,1.655210154,0.007949804
20200422,1.752214698,0.058605576
20200423,1.781716345,0.016836776
20200424,1.819561047,0.021240587
20200427,1.847698204,0.015463706
20200428,1.857750949,0.005440686
20200429,1.84743662,-0.005552051
20200430,1.859295128,0.006418898
20200506,1.015702417,0.015702417
20200507,1.016587749,0.000871645
20200508,1.008867195,-0.007594578
20200511,1.011117895,0.002230918
20200512,0.999475332,-0.011514545
20200513,0.986688232,-0.012793812
20200514,0.972846717,-0.014028257
20200515,0.959418081,-0.013803444
20200518,0.962238188,0.002939393
20200519,0.967880456,0.005863692
20200520,0.963049231,-0.004991552
20200521,0.96506998,0.002098282
20200522,0.962017873,-0.003162576
20200525,0.95216621,-0.010240624
20200526,0.940374811,-0.012383761
20200527,0.931185427,-0.009772044
20200528,0.934162106,0.003196656
20200529,0.940988566,0.007307575
20200601,0.950529499,0.010139266
20200602,0.962412509,0.012501464
20200603,0.966862375,0.004623657
20200604,0.980145853,0.013738747
20200605,0.974803613,-0.005450454
20200608,0.98537537,0.010845012
20200609,0.973641972,-0.011907542
20200610,0.970408862,-0.003320635
20200611,0.982653404,0.012617921
20200612,1.01134565,0.029198745
20200615,1.027287793,0.015763298
20200616,1.041242247,0.013583783
20200617,1.0383265,-0.002800258
20200618,1.036638716,-0.001625485
20200619,1.041201473,0.004401493
20200622,1.049863085,0.008318862
20200623,1.062970005,0.012484409
20200624,1.083215409,0.019046073
20200629,1.078235491,-0.004597349
20200630,1.067727616,-0.009745436